SERIE	TITULO	DATA_VENCIMENTO	DATA_REF	DATA_CAPTURA	FINANCEIRO (R$ BI)	QUANTIDADE (MIL)	COD_REF
BRSTNCLTN814	'LTN'	2023-10-01	2023-07-01	2023-09-10	22.250034307586798	22746.615	'BRSTNCLTN814'
BRSTNCLTN7S1	'LTN'	2024-01-01	2023-07-01	2023-09-10	274.532760251524	280908.663	'BRSTNCLTN7S1'
BRSTNCLTN7Y9	'LTN'	2024-04-01	2023-07-01	2023-09-10	83.0731076767119	89831.191	'BRSTNCLTN7Y9'
BRSTNCLTN7W3	'LTN'	2024-07-01	2023-07-01	2023-09-10	86.45078206730246	92548.84185	'BRSTNCLTN7W3'
BRSTNCLTN822	'LTN'	2024-10-01	2023-07-01	2023-09-10	36.3307256356822	41679.509	'BRSTNCLTN822'
BRSTNCLTN7N2	'LTN'	2025-01-01	2023-07-01	2023-09-10	74.68360382988611	85471.70065	'BRSTNCLTN7N2'
BRSTNCLTN830	'LTN'	2025-04-01	2023-07-01	2023-09-10	114.228090064584	137625.546	'BRSTNCLTN830'
BRSTNCLTN7Z6	'LTN'	2025-07-01	2023-07-01	2023-09-10	92.09277703359669	114409.794	'BRSTNCLTN7Z6'
BRSTNCLTN863	'LTN'	2025-10-01	2023-07-01	2023-09-10	13.3111963553072	16494.53	'BRSTNCLTN863'
BRSTNCLTN7U7	'LTN'	2026-01-01	2023-07-01	2023-09-10	135.28318374492346	177894.48584	'BRSTNCLTN7U7'
BRSTNCLTN848	'LTN'	2026-07-01	2023-07-01	2023-09-10	155.79176246881602	215913.791	'BRSTNCLTN848'
BRSTNCLTN871	'LTN'	2027-07-01	2023-07-01	2023-09-10	14.555128034215999	21526.03	'BRSTNCLTN871'
BRSTNCLTN806	'LTN'	2029-01-01	2023-07-01	2023-09-10	2.62599597716434	4952.3211200000005	'BRSTNCLTN806'
BRSTNCNTF170	'NTN-F'	2025-01-01	2023-07-01	2023-09-10	104.44530325074844	104931.81590999999	'BRSTNCNTF170'
BRSTNCNTF1P8	'NTN-F'	2027-01-01	2023-07-01	2023-09-10	110.03979054410884	110274.08753	'BRSTNCNTF1P8'
BRSTNCNTF1Q6	'NTN-F'	2029-01-01	2023-07-01	2023-09-10	106.31637991250628	103462.92456	'BRSTNCNTF1Q6'
BRSTNCNTF204	'NTN-F'	2031-01-01	2023-07-01	2023-09-10	42.16009325944684	38851.74138	'BRSTNCNTF204'
BRSTNCNTF212	'NTN-F'	2033-01-01	2023-07-01	2023-09-10	38.03204167224553	41975.79004	'BRSTNCNTF212'
BRSTNCLF1R90	'LFT'	2023-09-01	2023-07-01	2023-09-10	314.555297000489	23153.056	'BRSTNCLF1R90'
BRSTNCLF1RA8	'LFT'	2024-03-01	2023-07-01	2023-09-10	158.49459637403697	11666.054	'BRSTNCLF1RA8'
BRSTNCLF0008	'LFT'	2024-09-01	2023-07-01	2023-09-10	211.25460576547795	15552.728570000001	'BRSTNCLF0008'
BRSTNCLF1RC4	'LFT'	2025-03-01	2023-07-01	2023-09-10	157.4023186757016	11590.99006	'BRSTNCLF1RC4'
BRSTNCLF1RD2	'LFT'	2025-09-01	2023-07-01	2023-09-10	196.18305149871898	14445.717	'BRSTNCLF1RD2'
BRSTNCLF1RE0	'LFT'	2026-03-01	2023-07-01	2023-09-10	253.43229059031643	18671.797280000003	'BRSTNCLF1RE0'
BRSTNCLF1RF7	'LFT'	2026-09-01	2023-07-01	2023-09-10	60.1912073414992	4436.336	'BRSTNCLF1RF7'
BRSTNCLF1RG5	'LFT'	2027-03-01	2023-07-01	2023-09-10	234.46693679666927	17460.11495	'BRSTNCLF1RG5'
BRSTNCLF1RH3	'LFT'	2027-09-01	2023-07-01	2023-09-10	277.08010793526205	20644.379	'BRSTNCLF1RH3'
BRSTNCLF1RI1	'LFT'	2028-03-01	2023-07-01	2023-09-10	179.21374113860298	13331.895	'BRSTNCLF1RI1'
BRSTNCLF1RK7	'LFT'	2028-09-01	2023-07-01	2023-09-10	188.607691305116	14006.48	'BRSTNCLF1RK7'
BRSTNCLF1RL5	'LFT'	2029-03-01	2023-07-01	2023-09-10	245.56433462956647	18252.180350000002	'BRSTNCLF1RL5'
BRSTNCLF1RM3	'LFT'	2029-09-01	2023-07-01	2023-09-10	50.5304455179837	3757.626	'BRSTNCLF1RM3'
BRSTNCNTB096	'NTN-B'	2024-08-15	2023-07-01	2023-09-10	222.3618291026706	51757.81342	'BRSTNCNTB096'
BRSTNCNTB633	'NTN-B'	2025-05-15	2023-07-01	2023-09-10	145.922759835323	33523.057	'BRSTNCNTB633'
BRSTNCNTB4U6	'NTN-B'	2026-08-15	2023-07-01	2023-09-10	208.79651837457328	47759.62674	'BRSTNCNTB4U6'
BRSTNCNTB682	'NTN-B'	2027-05-15	2023-07-01	2023-09-10	86.700733221037	20553.08	'BRSTNCNTB682'
BRSTNCNTB4X0	'NTN-B'	2028-08-15	2023-07-01	2023-09-10	164.136479019522	36704.965	'BRSTNCNTB4X0'
BRSTNCNTB3B8	'NTN-B'	2030-08-15	2023-07-01	2023-09-10	127.89220947892676	28032.170469999997	'BRSTNCNTB3B8'
BRSTNCNTB674	'NTN-B'	2032-08-15	2023-07-01	2023-09-10	39.401765140719995	9176.59054	'BRSTNCNTB674'
BRSTNCNTB6B1	'NTN-B'	2033-05-15	2023-07-01	2023-09-10	32.152808141209704	7542.165	'BRSTNCNTB6B1'
BRSTNCNTB0O7	'NTN-B'	2035-05-15	2023-07-01	2023-09-10	131.90810144910506	31983.10367	'BRSTNCNTB0O7'
BRSTNCNTB3C6	'NTN-B'	2040-08-15	2023-07-01	2023-09-10	99.09947834834644	21514.41412	'BRSTNCNTB3C6'
BRSTNCNTB0A6	'NTN-B'	2045-05-15	2023-07-01	2023-09-10	104.2589536425464	27064.65227	'BRSTNCNTB0A6'
BRSTNCNTB3D4	'NTN-B'	2050-08-15	2023-07-01	2023-09-10	197.3787856728325	43164.73478	'BRSTNCNTB3D4'
BRSTNCNTB4Q4	'NTN-B'	2055-05-15	2023-07-01	2023-09-10	131.1312175708473	26943.566010000002	'BRSTNCNTB4Q4'
BRSTNCNTB690	'NTN-B'	2060-08-15	2023-07-01	2023-09-10	35.475587172943705	8285.859	'BRSTNCNTB690'
BRSTNCNTB0K5	'NTN-B Principal'	2024-08-15	2023-07-01	2023-09-10	11.27646952210194	2881.73327	'BRSTNCNTB0K5'
BRSTNCNTB4W2	'NTN-B Principal'	2026-08-15	2023-07-01	2023-09-10	13.864217445422701	3833.79883	'BRSTNCNTB4W2'
BRSTNCNTB6A3	'NTN-B Principal'	2029-05-15	2023-07-01	2023-09-10	1.54798340512946	518.1502899999999	'BRSTNCNTB6A3'
BRSTNCNTB3E2	'NTN-B Principal'	2035-05-15	2023-07-01	2023-09-10	13.737611752948773	6114.9324400000005	'BRSTNCNTB3E2'
BRSTNCNTB2U0	'NTN-B Principal'	2045-05-15	2023-07-01	2023-09-10	6.39403607430204	4647.5525	'BRSTNCNTB2U0'
BRSTNCNTC0K4	'NTN-C'	2031-01-01	2023-07-01	2023-09-10	72.55569111326228	11041.86731	'BRSTNCNTC0K4'
